period	kind	cdn_path
2026-Q1	release	2026/q1/2026q1-alphabet-earnings-release.pdf
2026-Q1	slides	2026/q1/Alphabet-Q1-2026-Earnings-Slides.pdf
2026-Q1	10-Q	2026/q1/GOOG-10-Q-Q1-2026.pdf
2026-Q2	release	2026/q2/2026q2-alphabet-earnings-release.pdf
2026-Q2	slides	2026/q2/2026q2-alphabet-earnings-slides.pdf
2026-Q2	10-Q	2026/q2/GOOG-10-Q-Q2-2026.pdf
2025-Q1	release	2025/q1/2025q1-alphabet-earnings-release.pdf
2025-Q1	slides	2025/q1/2025q1-alphabet-earnings-slides.pdf
2025-Q1	10-Q	2025/q1/goog-10-q-q1-2025.pdf
2025-Q2	release	2025/q2/2025q2-alphabet-earnings-release.pdf
2025-Q2	slides	2025/q2/2025q2-alphabet-earnings-slides.pdf
2025-Q2	10-Q	2025/q2/goog-10-q-q2-2025.pdf
2025-Q3	release	2025/q3/2025q3-alphabet-earnings-release.pdf
2025-Q3	slides	2025/q3/2025q3-alphabet-earnings-slides.pdf
2025-Q3	10-Q	2025/q3/GOOG-10-Q-Q3-2025.pdf
2025-Q4	release	2025/q4/2025q4-alphabet-earnings-release.pdf
2025-Q4	slides	2025/q4/4/2025q4-alphabet-earnings-slides.pdf
2025-Q4	10-K	2025/q4/GOOG-10-K-2025.pdf
2024-Q1	release	2024/q1/2024q1-alphabet-earnings-release-pdf.pdf
2024-Q1	10-Q	2024/q1/goog-10-q-q1-2024.pdf
2024-Q2	release	2024/q2/2024q2-alphabet-earnings-release.pdf
2024-Q2	10-Q	2024/q2/goog-10-q-q2-2024.pdf
2024-Q3	release	2024/q3/2024q3-alphabet-earnings-release.pdf
2024-Q3	10-Q	2024/q3/goog-10-q-q3-2024.pdf
2024-Q4	release	2024/q4/2024q4-alphabet-earnings-release.pdf
2024-Q4	annual-report	2025/q4/2024-annual-report.pdf
2024-Q4	10-K	2024/q4/goog-10-k-2024.pdf
2023-Q1	release	2023/q1/goog-exhibit-99-1-q1-2023-19.pdf
2023-Q1	10-Q	2023/q1/20230426-alphabet-10q.pdf
2023-Q2	release	2023/q2/2023q2-alphabet-earnings-release.pdf
2023-Q2	10-Q	2023/q2/goog-10-q-q2-2023-4.pdf
2023-Q3	release	2023/q3/2023q3-alphabet-earnings-release.pdf
2023-Q3	10-Q	2023/q3/goog-10-q-q3-2023.pdf
2023-Q4	release	2023/q4/2023q4-alphabet-earnings-release.pdf
2023-Q4	annual-report	2023/q4/goog023-alphabet-2023-annual-report-web-1.pdf
2023-Q4	10-K	2023/q4/goog-10-k-2023-final.pdf
2022-Q1	release	2022/q1/2022q1-alphabet-earnings-release.pdf
2022-Q1	10-Q	2022/q1/20220427-alphabet-10q.pdf
2022-Q2	release	2022/q2/2022q2-alphabet-earnings-release.pdf
2022-Q2	10-Q	2022/q2/20220726-alphabet-10q.pdf
2022-Q3	release	2022/q3/2022q3-alphabet-earnings-release.pdf
2022-Q3	10-Q	2022/q3/20221025-alphabet-10q.pdf
2022-Q4	release	2022/q4/2022q4-alphabet-earnings-release.pdf
2022-Q4	10-K	2022/q4/goog-10-k-q4-2022.pdf
